Code,University ,Code of university,City,Address
5B050800,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B050900,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B051100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060400,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060600,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060800,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B060900,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B070300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B071600,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B090200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010100,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010200,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010300,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010600,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010700,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010800,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B010900,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011000,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011100,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011200,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011300,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011400,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011600,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011700,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011800,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B011900,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B012100,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B012600,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B012700,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B012800,Republican state enterprise on the basis of economic conduct «Arkalyk State Pedagogical Institute named after Y.Altynsarin»,8,Arkalyk,"Auelbekova street, 17 "
5B050600,NJSC «Atyrau University of Oil and Gas»,9,Atyrau,"Azattyk avenue, 1"
5B050700,NJSC «Atyrau University of Oil and Gas»,9,Atyrau,"Azattyk avenue, 1"
